DMR,p.value,FDR
PGA_scaffold1:15916439-15916740,0.918982896437241,1
PGA_scaffold1:21584022-21584046,0.207569565020999,1
PGA_scaffold1:43276937-43276981,0.00639801309288696,0.473452968873635
PGA_scaffold1:46698259-46698291,0.995374839281879,1
PGA_scaffold1:46757428-46757486,0.0260548552647223,1
PGA_scaffold1:60340187-60340200,0.722299432596046,1
PGA_scaffold1:69390554-69390616,0.408827289570394,1
PGA_scaffold1:74887511-74887567,0.935630258694619,1
PGA_scaffold10:10029611-10029642,0.79951973789891,1
PGA_scaffold10:13645155-13645260,0.950191090088236,1
PGA_scaffold10:14917363-14917384,0.958815432691993,1
PGA_scaffold10:24426830-24426843,0.961434896711661,1
PGA_scaffold10:24776144-24776185,0.729222602677568,1
PGA_scaffold11:28525380-28525395,0.920070882382261,1
PGA_scaffold11:39354932-39354946,0.879794752494564,1
PGA_scaffold12:1231053-1231093,0.0458736049090101,1
PGA_scaffold12:1231505-1231568,8.78796582663304e-07,7.2061319778391e-05
PGA_scaffold12:23089514-23089518,0.179417253553742,1
PGA_scaffold12:27198335-27198379,0.859364148209678,1
PGA_scaffold12:31134106-31134123,0.88946427191814,1
PGA_scaffold12:41217708-41217719,0.0134096237428217,0.978902533225985
PGA_scaffold13:10647610-10647622,0.695527998127092,1
PGA_scaffold13:17937026-17937040,0.951600010244236,1
PGA_scaffold13:19133672-19133695,0.990208321023201,1
PGA_scaffold13:21046993-21046998,0.607388509579959,1
PGA_scaffold13:5569690-5569699,0.737436322218049,1
PGA_scaffold14:11594029-11594119,0.823101625484208,1
PGA_scaffold14:12689278-12689362,0.950393582882354,1
PGA_scaffold14:13573212-13573235,0.0698187587947774,1
PGA_scaffold14:18735353-18735374,0.988649210343413,1
PGA_scaffold14:40696789-40696797,0.752241898645933,1
PGA_scaffold14:41137057-41137286,0.113949334082719,1
PGA_scaffold14:44850894-44850996,0.582741284805884,1
PGA_scaffold14:44851871-44851913,0.744150349580339,1
PGA_scaffold14:7730742-7730823,0.738518323939106,1
PGA_scaffold15:21140590-21140629,0.995507458990318,1
PGA_scaffold15:40340179-40340288,0.479067409891426,1
PGA_scaffold17:27526085-27526152,0.0772055534742549,1
PGA_scaffold17:32964209-32964230,1.88909267079178e-06,0.000151127413663343
PGA_scaffold17:8976079-8976131,0.996111853972449,1
PGA_scaffold18:18664659-18664875,1.16485138585493e-05,0.000908584080966843
PGA_scaffold18:19258200-19258272,1.95696285813932e-07,1.66341842941842e-05
PGA_scaffold18:8945939-8945968,2.16162076162058e-11,1.90222627022611e-09
PGA_scaffold2:11278255-11278372,0.389584759521,1
PGA_scaffold2:13714506-13714553,0.0418202203524137,1
PGA_scaffold2:15513415-15513423,0.978166720515416,1
PGA_scaffold2:36294481-36294501,0.0462357083427006,1
PGA_scaffold2:50799040-50799085,0.871818806710674,1
PGA_scaffold2:51343903-51343983,0.987330499149771,1
PGA_scaffold2:52908402-52908427,2.70242298088499e-06,0.000213491415489915
PGA_scaffold2:53313178-53313218,0.828653602116878,1
PGA_scaffold2:57092542-57092565,0.95419216165285,1
PGA_scaffold3:10747609-10747878,0.684683623042768,1
PGA_scaffold3:15572964-15573076,0.0735319427893451,1
PGA_scaffold3:16521340-16521367,0.0398377331642446,1
PGA_scaffold3:20881351-20881564,0.182404099803139,1
PGA_scaffold3:26079917-26080044,0.0758516593528117,1
PGA_scaffold3:41622087-41622098,1.42739341623537e-06,0.000115618866715065
PGA_scaffold3:43926255-43926279,0.837740774286043,1
PGA_scaffold3:47868223-47868247,0.439559567588423,1
PGA_scaffold3:54609876-54609910,0.401788768347116,1
PGA_scaffold4:19910057-19910096,0.660910451887388,1
PGA_scaffold4:3039447-3039498,0.274099145416385,1
PGA_scaffold4:3367325-3367345,0.662327443624359,1
PGA_scaffold4:3368800-3368840,0.522012535535306,1
PGA_scaffold4:3369764-3369810,0.955777845733587,1
PGA_scaffold4:5826926-5826980,0.760685182999539,1
PGA_scaffold5:1934947-1934957,0.568548788114518,1
PGA_scaffold5:21524290-21524305,0.00442785477885389,0.332089108414041
PGA_scaffold5:21524722-21524858,4.1293397141399e-07,3.46864535987752e-05
PGA_scaffold5:49645701-49645797,0.567414412399983,1
PGA_scaffold5:52147882-52147903,0.0267327245257701,1
PGA_scaffold5:54725951-54725969,0.907342550150253,1
PGA_scaffold5:60831846-60831862,0.800803723423649,1
PGA_scaffold6:10801184-10801472,0.539231685004389,1
PGA_scaffold6:21771063-21771243,0.940287848103254,1
PGA_scaffold6:25730191-25730213,0.252874195785111,1
PGA_scaffold6:40281642-40281720,8.09017322501954e-07,6.71484377676622e-05
PGA_scaffold6:42546732-42546788,0.0731518084846607,1
PGA_scaffold6:4690068-4690192,0.00313292692230672,0.23810244609531
PGA_scaffold6:57014635-57014684,0.202249378879575,1
PGA_scaffold7:11615335-11615408,0.000400964623384841,0.0308742760006327
PGA_scaffold7:31018957-31019085,0.686928926979766,1
PGA_scaffold8:14265243-14265288,5.1738714489412e-08,4.50126816057885e-06
PGA_scaffold8:18093213-18093280,0.954483873320334,1
PGA_scaffold8:60605274-60605291,6.84499994368696e-08,5.88669995157078e-06
PGA_scaffold8:6443565-6443787,0.292402475067152,1
PGA_scaffold8:6551273-6551294,0.829759013799062,1
