ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
PGA_scaffold1:21584022-21584046,0.45713853912461,0.302035264588784,0.207037612831386,2.94731713751807,0.117872240536337,3,3.34253736488276,1.31492527023447,2.52526564221066,0.300052011888432,7
PGA_scaffold1:28802190-28802248,0.400257391917769,0.266981256788384,0.108214681302906,3.00321877978528,0.100194081342417,3,11.382488856929,-14.764977713858,-12.825351114706,0.105393755245405,9
PGA_scaffold1:37338198-37338279,0.652498064307713,0.565622580384641,0.14126651598266,7.51072724827063,0.0145823968250263,3,7.67134852918253,-7.34269705836507,-5.75111596717159,0.159649828303034,8
PGA_scaffold1:60340187-60340200,0.648611511805597,0.570525181095729,0.104609280582469,8.306338713949,0.00903740786586176,3,11.7891061177263,-15.5782122354526,-13.6385856363006,0.0984879142558362,9
PGA_scaffold1:64179812-64179918,0.181963532004645,0.000177650227899173,0.194666509046009,1.00097724986211,0.405020487545585,3,4.33643877046467,-0.672877540929345,1.26674905822266,0.34105544769744,9
PGA_scaffold1:6581715-6581918,0.210386392497833,0.0349167019417955,0.121172549756895,1.19898993285478,0.345434577677379,3,10.0253066540948,-12.0506133081895,-10.1109867090375,0.132145081331284,9
PGA_scaffold1:71140005-71140053,0.132526974773482,-0.060244808610189,0.034847784959121,0.687481188622483,0.527414305330157,3,24.9800184731516,-41.9600369463032,-40.0204103471512,0.0109293130490143,9
PGA_scaffold1:72999913-72999953,0.251617460234038,0.00215661364538366,0.294454338172888,1.0086450987194,0.419151418023118,3,0.0578282166911371,7.88434356661773,8.6732418759626,0.520220143613001,6
PGA_scaffold1:74887501-74887567,0.0671883447219804,-0.166014569097525,0.269626756782571,0.288111085841676,0.757139415476601,3,0.561054900967083,6.87789019806583,8.46947128925932,0.581588703784701,8
PGA_scaffold1:89339343-89339389,0.344713375212765,0.157488625273555,0.203493198810581,1.84117417875943,0.227776839402579,3,3.51521634500905,0.969567309981899,2.17990768195808,0.289866373735138,7
PGA_scaffold10:21125201-21125260,0.162236827196315,-0.02393276676006,0.0794327808040848,0.871446425533548,0.450864139310776,3,15.0929597097291,-22.1859194194583,-20.2462928203063,0.0567860999964281,9
PGA_scaffold11:28525380-28525419,0.0555245199835374,-0.180594350020578,0.179923273113316,0.235154945399195,0.795724536467957,3,5.01064422983218,-2.02128845966437,-0.429707368470886,0.25897907366247,8
PGA_scaffold11:48720902-48721040,0.417959731977647,0.288617450194902,0.221469537429416,3.2314238330795,0.0875565506957747,3,2.78847276613736,2.42305446772528,4.36268106687728,0.441438804082797,9
PGA_scaffold12:1231014-1231117,0.376880042982934,0.238408941423585,0.0509603212325835,2.7217234407672,0.119006990835674,3,20.4193256056463,-32.8386512112926,-30.8990246121406,0.0233725890611529,9
PGA_scaffold12:1231446-1231599,0.384623292050061,0.24787291250563,0.0696722431874226,2.81259396377101,0.112495394662914,3,16.666269313892,-25.332538627784,-23.392912028632,0.0436879932369062,9
PGA_scaffold12:16522785-16522872,0.444365204396722,0.320890805373771,0.156794866188291,3.59884484486639,0.0710480980877645,3,6.93263298922985,-5.8652659784597,-3.92563937930769,0.221261670567037,9
PGA_scaffold12:27198335-27198400,0.490257710013564,0.362822137516955,0.14569068252132,3.84710250371112,0.0675153716474438,3,7.33213634924281,-6.66427269848562,-5.07269160729213,0.169806199788225,8
PGA_scaffold12:27950246-27950273,0.568213182242704,0.46026647780338,0.182672020551179,5.26383075049866,0.0347598199011887,3,4.84386434289555,-1.68772868579111,-0.0961475945976265,0.266952536738004,8
PGA_scaffold12:41217708-41217756,0.242647229468867,0.0743466137952814,0.123859843898659,1.4417489115992,0.286313603629353,3,9.76208576158726,-11.5241715231745,-9.58454492402251,0.138071348375402,9
PGA_scaffold12:41264915-41264940,0.38814593374906,0.252178363471073,0.158201743259692,2.85469493170682,0.109626444203483,3,6.82544048867829,-5.65088097735659,-3.71125437820459,0.225250124133649,9
PGA_scaffold12:47148558-47148639,0.235281275908958,0.0653437816665042,0.152249678502415,1.38451656568077,0.299059606797806,3,7.28563184469808,-6.57126368939616,-4.63163709024416,0.208619681436798,9
PGA_scaffold12:49293389-49293451,0.245612799492705,0.0570159993658818,0.170788080240324,1.3023168968272,0.323874864962807,3,5.58382132261428,-3.16764264522856,-1.57606155403507,0.233348546817403,8
PGA_scaffold12:49304900-49304942,0.325658464311258,0.175804789713759,0.22389252632586,2.1731763681202,0.169808567310557,3,2.65789966168825,2.6842006766235,4.6238272757755,0.451150770101184,9
PGA_scaffold13:17937026-17937084,0.2612289441575,0.0970575984147223,0.124272379086036,1.5911969471627,0.256032103244284,3,9.72218423851896,-11.4443684770379,-9.50474187788593,0.138992617833332,9
PGA_scaffold13:37484870-37484962,0.343050709217902,0.178813386522377,0.20131049670123,2.08875000875334,0.18626334266373,3,3.77514649032401,0.449707019351987,2.04128811054547,0.324207328656766,8
PGA_scaffold13:5569653-5569698,0.357178785573169,0.173515581451217,0.233462822556182,1.94474874420683,0.212968662441192,3,2.14131371489248,3.71737257021504,4.92771294219123,0.381534226611295,7
PGA_scaffold13:6209123-6209170,0.343432450504086,0.197528550616105,0.150229017818668,2.35382639372737,0.15057655737684,3,7.44596240161485,-6.8919248032297,-4.9522982040777,0.203118820152855,9
PGA_scaffold14:11594029-11594119,0.345750007314714,0.182187509143392,0.226021718022979,2.11387091283335,0.183220855160519,3,2.50153771158168,2.99692457683664,4.58850566803012,0.408686536144474,8
PGA_scaffold14:13573212-13573235,0.363987586848875,0.182269754519981,0.139696513551019,2.00303724837577,0.205177423422193,3,7.27681908480954,-6.55363816961908,-5.3432977976429,0.136605811288171,7
PGA_scaffold14:15065695-15065943,0.18096718505568,-0.00104010715416925,0.118448075329316,0.994285354495742,0.407245093359,3,10.2981972039997,-12.5963944079994,-10.6567678088474,0.126269518942974,9
PGA_scaffold14:35104713-35104808,0.286681818576058,0.128166667148515,0.157199440756811,1.80854521472731,0.218662758004602,3,6.90170951449468,-5.80341902898937,-3.86379242983737,0.222404977568287,9
PGA_scaffold14:35158667-35158692,0.412554700787944,0.26569337598493,0.122389812754041,2.80914462225713,0.119088474361016,3,9.2491572124148,-10.4983144248296,-8.90673333363611,0.119834130127755,8
PGA_scaffold14:35870107-35870325,0.360297182752888,0.20037147844111,0.279052955908828,2.25290352356668,0.16746075827983,3,0.183062455415821,7.63387508916836,9.22545618036184,0.622964417611634,8
PGA_scaffold14:41137020-41137313,0.611565707185683,0.525246975449168,0.216586426496175,7.08497095453704,0.0141882567955355,3,3.05601738747263,1.88796522505474,3.82759182420674,0.422187121281448,9
PGA_scaffold14:44851829-44851913,0.462056462681258,0.342513454388204,0.113107220681617,3.86519018785732,0.0614207513552324,3,10.8518586909647,-13.7037173819294,-11.7640907827774,0.11513919033288,9
PGA_scaffold14:44936527-44936544,0.152548200988204,-0.0357744210144169,0.2184280031072,0.810036518003032,0.474807452397624,3,2.9544159239603,2.0911681520794,4.0307947512314,0.429397132872591,9
PGA_scaffold14:9589673-9589721,0.143894240685753,-0.0463514836063021,0.322850053740175,0.756359919368564,0.497019449712308,3,-1.73436244229592,11.4687248845918,13.4083514837438,0.938089414800306,9
PGA_scaffold15:11947135-11947224,0.745699071080421,0.689187753542737,0.123642174251844,13.1955704374289,0.00210894745657315,3,9.7831929546093,-11.5663859092186,-9.62675931006659,0.13758648528351,9
PGA_scaffold15:15005893-15006031,0.503924920830258,0.393686014348093,0.1417443391922,4.5712075428813,0.0426543518083694,3,8.14359330413939,-8.28718660827878,-6.34756000912678,0.180823119237302,9
PGA_scaffold15:19844972-19845043,0.479166491850261,0.36342571226143,0.0852585223831717,4.13999710000658,0.0531061877832665,3,14.2436364183871,-20.4872728367742,-18.5476462376222,0.0654211407506561,9
PGA_scaffold15:25159286-25159339,0.331869183690446,0.140974664744859,0.219797138456027,1.73849508892942,0.243789648609926,3,2.74449194715436,2.51101610569129,3.72135647766747,0.338175474514206,7
PGA_scaffold15:36966179-36966267,0.264983754712925,0.101646811315797,0.180935567383777,1.62231366157415,0.250228182070836,3,5.21420154502814,-2.42840309005628,-0.488776490904279,0.294639115900405,9
PGA_scaffold15:5535744-5535800,0.422307038838895,0.293930825247538,0.0588648937188007,3.28960503682691,0.0846519256472966,3,18.688954811788,-29.3779096235759,-27.4382830244239,0.0311856814127313,9
PGA_scaffold16:18260388-18260407,0.178916311082922,-0.0556790286076723,0.216163546038258,0.762659272425843,0.501598220240726,3,2.91118938977333,2.17762122045334,3.38796159242952,0.327086750450839,7
PGA_scaffold16:20948974-20948997,0.416864306083012,0.222485741444016,0.102303137952212,2.14460018704851,0.198293681815808,3,9.57248057992263,-11.1449611598453,-10.3560628505004,0.0627955922092159,6
PGA_scaffold16:20991988-20992334,0.217659672075051,0.0220745900938136,0.256343215609199,1.11286438551551,0.374613022945691,3,1.11679016680788,5.76641966638424,7.35800075757773,0.525694753510913,8
PGA_scaffold16:24885487-24885531,0.618634002032111,0.509672288327,0.156158732144159,5.67753553974338,0.0342528642065037,3,6.16281214068907,-4.32562428137815,-3.11528390940197,0.170698847374098,7
PGA_scaffold16:26210026-26210316,0.353177601370703,0.209439290564192,0.166982729766552,2.45708746254938,0.140777331113416,3,6.17720867406958,-4.35441734813915,-2.41479074898715,0.250949088362605,9
PGA_scaffold16:439202-439338,0.507663776247963,0.398255726525288,0.180565072503622,4.64009529038107,0.0412266509410119,3,5.2387986805679,-2.47759736113579,-0.537970761983791,0.293433708674144,9
PGA_scaffold17:28123080-28123383,0.45869508646325,0.323368858079062,0.10027462437466,3.38955051020136,0.0858554516407582,3,11.4414404020363,-14.8828808040726,-13.2912997128791,0.0804400023478333,8
PGA_scaffold17:31762909-31763053,0.349835757853408,0.133114343804545,0.25001779811868,1.6142186935645,0.274833229527427,3,1.53015472825779,4.93969054348442,5.7285888528293,0.375053396256679,6
PGA_scaffold17:32218398-32218572,0.230948068346868,0.0600476390906161,0.117335762288879,1.35136037605019,0.306761252969559,3,10.4114183275436,-12.8228366550872,-10.8832100559352,0.12390913000721,9
PGA_scaffold17:32964186-32964256,0.259759867181169,0.0952620598880956,0.0480188517421055,1.57910838725269,0.258331176525322,3,21.132769242867,-34.265538485734,-32.325911886582,0.0207522911036728,9
PGA_scaffold17:8976064-8976132,0.0877330088977223,-0.114992989125006,0.0754244512235094,0.432766442160449,0.661528903452814,3,15.7143152733011,-23.4286305466023,-21.4890039474503,0.051199630581308,9
PGA_scaffold18:10966806-10967119,0.511818213831645,0.349090951775527,0.250561329970515,3.14525179963478,0.11634419424149,3,1.51061021145935,4.9787795770813,5.76767788642618,0.376685880459559,6
PGA_scaffold18:12588204-12588237,0.580225281513266,0.440300375351022,0.113960362735368,4.1466905172728,0.0739688449589639,3,8.60128746480777,-9.20257492961554,-8.41367662027066,0.0779217856486606,6
PGA_scaffold18:13636615-13636656,0.355956762346873,0.2128360428684,0.183162986734073,2.48710853078414,0.138075813479714,3,5.06737665184095,-2.1347533036819,-0.195126704529896,0.301938117384116,9
PGA_scaffold18:2572819-2572902,0.192061860955113,0.0125200522784717,0.161937703980887,1.06973335275362,0.383002398312011,3,6.54535276865487,-5.09070553730974,-3.15107893815774,0.236014379735413,9
PGA_scaffold18:8945939-8945968,0.385,0.23125,0.114365322905736,2.50406504065041,0.143054150625,3,9.9951026977448,-11.9902053954896,-10.3986243042961,0.104635416666667,8
PGA_scaffold2:11278255-11278336,0.272979236295854,0.0912240453698181,0.280559031724225,1.50190613486765,0.279374818239363,3,0.123854024096901,7.7522919518062,9.34387304299968,0.629706962256277,8
PGA_scaffold2:13714496-13714557,0.176698425274595,-0.0585305960755207,0.0903588054510148,0.751176127250032,0.506356409050818,3,11.6336574612137,-15.2673149224273,-14.0569745504511,0.0571529960577404,7
PGA_scaffold2:28519633-28519665,0.710399261858026,0.646043542270921,0.0388199069037381,11.0386344277683,0.00378528418357786,3,23.6846952290088,-39.3693904580176,-37.4297638588656,0.013562866548134,9
PGA_scaffold2:36294443-36294501,0.457111058390448,0.336469071366103,0.0435284990168786,3.78898814306006,0.0640028744562557,3,22.3109029033484,-36.6218058066968,-34.6821792075448,0.0170525720399616,9
PGA_scaffold2:36529110-36529148,0.307160888764788,0.15319664182363,0.167179090360328,1.99501439371296,0.191798754059001,3,6.16310576191984,-4.32621152383968,-2.38658492468768,0.251539634283361,9
