DMR,p.value,FDR
PGA_scaffold1:21584022-21584046,0.208520684936381,1
PGA_scaffold1:28802190-28802248,0.939409582212577,1
PGA_scaffold1:37338198-37338279,0.709177757917445,1
PGA_scaffold1:60340187-60340200,0.722299432596046,1
PGA_scaffold1:64179812-64179918,0.941923310997149,1
PGA_scaffold1:6581715-6581918,0.971734745706317,1
PGA_scaffold1:71140005-71140053,0.480125843932881,1
PGA_scaffold1:72999913-72999953,0.00141184093973676,0.136948571154466
PGA_scaffold1:74887501-74887567,0.928113133397345,1
PGA_scaffold1:89339343-89339389,0.751141568110259,1
PGA_scaffold10:21125201-21125260,0.993688474241676,1
PGA_scaffold11:28525380-28525419,0.987706589508418,1
PGA_scaffold11:48720902-48721040,0.346011554169828,1
PGA_scaffold12:1231014-1231117,0.0326840905059225,1
PGA_scaffold12:1231446-1231599,0.00322281436347352,0.309390178893458
PGA_scaffold12:16522785-16522872,0.824507681743879,1
PGA_scaffold12:27198335-27198400,0.863443246933549,1
PGA_scaffold12:27950246-27950273,0.593156765715311,1
PGA_scaffold12:41217708-41217756,0.00575943326230755,0.535627293394602
PGA_scaffold12:41264915-41264940,0.7841356545721,1
PGA_scaffold12:47148558-47148639,0.952580725900425,1
PGA_scaffold12:49293389-49293451,0.928840856294307,1
PGA_scaffold12:49304900-49304942,0.711435877358978,1
PGA_scaffold13:17937026-17937084,0.962603952402776,1
PGA_scaffold13:37484870-37484962,0.239409868165905,1
PGA_scaffold13:5569653-5569698,0.842891601861088,1
PGA_scaffold13:6209123-6209170,0.695840184000494,1
PGA_scaffold14:11594029-11594119,0.823101625484208,1
PGA_scaffold14:13573212-13573235,0.0710968096267362,1
PGA_scaffold14:15065695-15065943,0.004000931168544,0.38008846101168
PGA_scaffold14:35104713-35104808,0.793988409922657,1
PGA_scaffold14:35158667-35158692,0.192687059853646,1
PGA_scaffold14:35870107-35870325,0.0876720747427073,1
PGA_scaffold14:41137020-41137313,0.0391238488819436,1
PGA_scaffold14:44851829-44851913,0.809691621987135,1
PGA_scaffold14:44936527-44936544,0.909690886630172,1
PGA_scaffold14:9589673-9589721,0.868149381703293,1
PGA_scaffold15:11947135-11947224,0.0372181952133394,1
PGA_scaffold15:15005893-15006031,0.80089115356193,1
PGA_scaffold15:19844972-19845043,0.931000339501002,1
PGA_scaffold15:25159286-25159339,0.845074506682594,1
PGA_scaffold15:36966179-36966267,0.926162314943555,1
PGA_scaffold15:5535744-5535800,0.632557841413142,1
PGA_scaffold16:18260388-18260407,0.507112024444199,1
PGA_scaffold16:20948974-20948997,3.86468300624054e-05,0.00390332983630295
PGA_scaffold16:20991988-20992334,0.310466916473912,1
PGA_scaffold16:24885487-24885531,0.497610193535105,1
PGA_scaffold16:26210026-26210316,0.823266183997184,1
PGA_scaffold16:439202-439338,3.34137762565734e-08,3.6421016119665e-06
PGA_scaffold17:28123080-28123383,0.950350848028313,1
PGA_scaffold17:31762909-31763053,0.787881378147787,1
PGA_scaffold17:32218398-32218572,0.705799801919954,1
PGA_scaffold17:32964186-32964256,7.31467145215769e-05,0.00731467145215769
PGA_scaffold17:8976064-8976132,0.997000811138958,1
PGA_scaffold18:10966806-10967119,0.490208277823857,1
PGA_scaffold18:12588204-12588237,0.913968562962237,1
PGA_scaffold18:13636615-13636656,0.881498968473658,1
PGA_scaffold18:2572819-2572902,0.950062067158434,1
PGA_scaffold18:8945939-8945968,3.44500230740375e-10,3.78950253814412e-08
PGA_scaffold2:11278255-11278336,0.288938940375862,1
PGA_scaffold2:13714496-13714557,0.0188109941650332,1
PGA_scaffold2:28519633-28519665,1.95255562831727e-07,2.10876007858265e-05
PGA_scaffold2:36294443-36294501,0.026153627411919,1
