#chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI-205	methylation_level_EPI-206	methylation_level_EPI-214	methylation_level_EPI-215	methylation_level_EPI-220	methylation_level_EPI-221	methylation_level_EPI-226	methylation_level_EPI-227
PGA_scaffold10__49_contigs__length_53961475	876	911	3	EPI-205,EPI-206	EPI-214,EPI-220	1.0	0.9666666666666667	0.4444444444444444	0.6206896551724138	0.25	0.7222222222222222	0.8	0.46153846153846156
PGA_scaffold10__49_contigs__length_53961475	22571675	22571714	3	EPI-215,EPI-220	EPI-205	0.21052631578947367	NA	NA	1.0	1.0	NA	NA	NA
PGA_scaffold10__49_contigs__length_53961475	30436159	30436246	11	EPI-215,EPI-220	EPI-206,EPI-205	0.0	0.0	NA	0.9859154929577465	0.6153846153846154	NA	0.5833333333333334	0.1111111111111111
PGA_scaffold11__79_contigs__length_51449921	32765	32789	3	EPI-226,EPI-227	EPI-220	0.5416666666666666	0.46153846153846156	0.30612244897959184	0.4782608695652174	0.037037037037037035	0.35555555555555557	0.625	0.6190476190476191
PGA_scaffold11__79_contigs__length_51449921	1542754	1542811	3	EPI-215,EPI-220	EPI-226,EPI-205	0.36363636363636365	0.8333333333333334	NA	1.0	1.0	NA	0.15789473684210525	0.75
PGA_scaffold11__79_contigs__length_51449921	41762168	41762215	5	EPI-215,EPI-220	EPI-206	NA	0.0967741935483871	0.5333333333333333	1.0	0.8333333333333334	0.45454545454545453	0.3333333333333333	0.3333333333333333
PGA_scaffold11__79_contigs__length_51449921	46692953	46692987	3	EPI-215,EPI-221	EPI-206	0.3333333333333333	0.0625	0.0	1.0	NA	1.0	0.3	NA
PGA_scaffold12__71_contigs__length_50438331	3757685	3757700	3	EPI-206,EPI-226	EPI-214	NA	0.8888888888888888	0.2777777777777778	NA	NA	NA	1.0	NA
PGA_scaffold12__71_contigs__length_50438331	16469155	16469219	5	EPI-206,EPI-205	EPI-214	1.0	1.0	0.025	NA	NA	NA	NA	NA
PGA_scaffold12__71_contigs__length_50438331	40504910	40505047	6	EPI-206,EPI-226	EPI-214	0.3333333333333333	0.9696969696969697	0.1111111111111111	0.5714285714285714	0.5714285714285714	1.0	1.0	0.875
