chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.151	methylation_level_EPI.152	methylation_level_EPI.153	methylation_level_EPI.154	methylation_level_EPI.159	methylation_level_EPI.160	methylation_level_EPI.161	methylation_level_EPI.162	methylation_level_EPI.167	methylation_level_EPI.168	methylation_level_EPI.169	methylation_level_EPI.170
PGA_scaffold10__49_contigs__length_53961475	21053	21076	3	EPI-151,EPI-152	EPI-160,EPI-162,EPI-168	0.983870967741935	0.981481481481482	0.846153846153846	1	0.866666666666667	0.743589743589744	0.902439024390244	0.5	0.878787878787879	0.807017543859649	0.863636363636364	0.96969696969697
PGA_scaffold10__49_contigs__length_53961475	7651470	7651524	4	EPI-159,EPI-170,EPI-162,EPI-169	EPI-152	0.645833333333333	0.5	0.686274509803922	0.585365853658537	0.852941176470588	0.770491803278688	0.638888888888889	0.875	0.804878048780488	0.647058823529412	0.885714285714286	0.75
PGA_scaffold10__49_contigs__length_53961475	9685898	9685932	3	EPI-151,EPI-152,EPI-153	EPI-162	0.8125	0.625	0.681818181818182	0.333333333333333	0.363636363636364	0.192307692307692	0.266666666666667	0	0	0.35	NA	0.217391304347826
PGA_scaffold10__49_contigs__length_53961475	14917316	14917540	5	EPI-160,EPI-159,EPI-162	EPI-151,EPI-152,EPI-170	0.548611111111111	0.373134328358209	0.742424242424242	0.639344262295082	1	0.650406504065041	0.578313253012048	0.733333333333333	0.565217391304348	0.5625	0.870967741935484	0.61038961038961
PGA_scaffold10__49_contigs__length_53961475	16695638	16695672	3	EPI-152,EPI-153,EPI-159	EPI-169	0.5	0.818181818181818	0.766666666666667	0.577777777777778	1	0.571428571428571	0.6	0.555555555555556	0.416666666666667	0.464285714285714	0.206896551724138	0.395833333333333
PGA_scaffold10__49_contigs__length_53961475	30263383	30263436	3	EPI-169,EPI-170,EPI-162	EPI-153,EPI-151	0.372340425531915	0.486111111111111	0.19047619047619	0.5	0.8	0.508771929824561	0.552631578947368	0.705882352941177	0.448275862068966	0.55	0.68	0.746031746031746
PGA_scaffold10__49_contigs__length_53961475	43494141	43494160	4	EPI-152,EPI-168,EPI-170	EPI-162	0.642857142857143	1	NA	0.689655172413793	0.9	0.666666666666667	1	0.525	0.789473684210526	0.975609756097561	0.8	1
PGA_scaffold10__49_contigs__length_53961475	43828505	43828620	9	EPI-154,EPI-153,EPI-159	EPI-168,EPI-167	1	0.782608695652174	0.945945945945946	0.919540229885057	1	0.826923076923077	0.771929824561403	NA	0.6	0.583333333333333	0.696969696969697	0.7
PGA_scaffold10__49_contigs__length_53961475	53879662	53879784	12	EPI-152,EPI-161,EPI-153,EPI-154,EPI-151	EPI-170,EPI-167,EPI-169	0.446666666666667	0.944444444444444	0.666666666666667	0.666666666666667	0.279411764705882	NA	1	0.35	0.102941176470588	0.333333333333333	0.137931034482759	0.189393939393939
PGA_scaffold11__79_contigs__length_51449921	14810047	14810100	5	EPI-151,EPI-169,EPI-152,EPI-168	EPI-160,EPI-162	0.985915492957746	0.9875	0.903225806451613	0.958333333333333	0.895833333333333	0.823529411764706	0.879310344827586	0.795918367346939	NA	0.984615384615385	1	0.974358974358974
PGA_scaffold12__71_contigs__length_50438331	16522785	16522872	7	EPI-151,EPI-154,EPI-152	EPI-170,EPI-161,EPI-168	0.95	0.827956989247312	0.833333333333333	0.951219512195122	0.833333333333333	0.622641509433962	0.2	NA	0.560975609756098	0.513513513513513	0.585365853658537	0.462962962962963
PGA_scaffold12__71_contigs__length_50438331	30777470	30777509	4	EPI-160,EPI-162		0	0	0.032258064516129	0	0	0.215686274509804	0	0.148148148148148	0.103448275862069	0	0	0
PGA_scaffold13__52_contigs__length_44396874	6209123	6209170	5	EPI-152,EPI-161,EPI-154	EPI-168,EPI-170,EPI-169	0.507246376811594	0.523076923076923	NA	0.609756097560976	0.433333333333333	0.433333333333333	0.685714285714286	0.285714285714286	0.5	0.16	0.216216216216216	0.202898550724638
PGA_scaffold13__52_contigs__length_44396874	44022542	44022588	5	EPI-152,EPI-151	EPI-160	0.98	1	0.885714285714286	0.92	1	0.69047619047619	1	0.90625	1	0.971428571428571	NA	1
PGA_scaffold14__91_contigs__length_45393038	18371880	18372003	3	EPI-151,EPI-152,EPI-153	EPI-159,EPI-167,EPI-170	0.824175824175824	0.75	0.848101265822785	0.852941176470588	0.521739130434783	0.86734693877551	0.727272727272727	0.88	0.595744680851064	0.814814814814815	0.777777777777778	0.654545454545455
PGA_scaffold14__91_contigs__length_45393038	19166005	19166048	4	EPI-161,EPI-162	EPI-151,EPI-154	0.452173913043478	0.552083333333333	0.621052631578947	0.420289855072464	0.590163934426229	0.64957264957265	0.763157894736842	0.833333333333333	0.555555555555556	0.481927710843373	0.681818181818182	0.534883720930233
PGA_scaffold14__91_contigs__length_45393038	34996216	34996223	4	EPI-152,EPI-153,EPI-151	EPI-162,EPI-167,EPI-170,EPI-169	0.653846153846154	0.468085106382979	0.636363636363636	0.580645161290323	0.421052631578947	0.392857142857143	0.4	0.333333333333333	0.418604651162791	0.5	0.375	0.464285714285714
PGA_scaffold14__91_contigs__length_45393038	36409233	36409314	5	EPI-151,EPI-153		0.407407407407407	0.0285714285714286	0.142857142857143	NA	0	0	NA	0	NA	0.032258064516129	0	0.02
PGA_scaffold14__91_contigs__length_45393038	40161321	40161337	3	EPI-154,EPI-159,EPI-161	EPI-170	0.904761904761905	0.833333333333333	0.733333333333333	1	0.958333333333333	0.740740740740741	1	NA	0.846153846153846	NA	0.75	0.354838709677419
PGA_scaffold14__91_contigs__length_45393038	44457501	44457537	5	EPI-160,EPI-162	EPI-168,EPI-151	0.746268656716418	0.769230769230769	0.833333333333333	0.933333333333333	0.933333333333333	0.960526315789474	0.769230769230769	1	0.774193548387097	0.647058823529412	1	0.754098360655738
PGA_scaffold15__101_contigs__length_47938513	14964809	14964905	10	EPI-151,EPI-152,EPI-154	EPI-159,EPI-170	0.9609375	0.972477064220184	1	1	0.511627906976744	0.904761904761905	NA	0.904761904761905	0.892857142857143	1	0.76	0.525641025641026
PGA_scaffold15__101_contigs__length_47938513	15010628	15010661	6	EPI-152,EPI-154	EPI-162,EPI-167,EPI-159	0.784810126582278	0.958904109589041	0.873015873015873	0.979166666666667	0.727272727272727	0.89010989010989	1	0.607594936708861	0.631578947368421	0.879310344827586	1	0.893939393939394
PGA_scaffold16__33_contigs__length_31980953	9356126	9356138	3	EPI-169,EPI-167	EPI-152,EPI-159	0.189189189189189	0.0869565217391304	0.2	0.325	0	0.321428571428571	0.291666666666667	0.15	0.382352941176471	0.45	0.444444444444444	0.138888888888889
PGA_scaffold16__33_contigs__length_31980953	10825505	10825604	6	EPI-167,EPI-169,EPI-168	EPI-152,EPI-161,EPI-159	0.434782608695652	0.212765957446809	0.381578947368421	0.42	0.303030303030303	0.333333333333333	0.22	0.2	0.661764705882353	0.647058823529412	0.68	0.5
PGA_scaffold16__33_contigs__length_31980953	26709087	26709154	6	EPI-159,EPI-160	EPI-168	0.96551724137931	0.780487804878049	0.853658536585366	1	0.978723404255319	0.987179487179487	1	1	0.848484848484849	0.551724137931034	1	0.75
PGA_scaffold17__51_contigs__length_34923512	10210451	10210485	5	EPI-152,EPI-154	EPI-168,EPI-169	0.128205128205128	0.212121212121212	0.1	0.333333333333333	0	0.0793650793650794	0.178571428571429	0.0615384615384615	0.2	0	0.0181818181818182	0.117647058823529
PGA_scaffold17__51_contigs__length_34923512	15397772	15397949	15	EPI-167,EPI-169,EPI-160,EPI-170,EPI-161	EPI-151,EPI-153,EPI-154	0.371794871794872	NA	0.44	0.0689655172413793	NA	0.827067669172932	0.84	0.804878048780488	0.864197530864197	NA	0.862385321100917	0.974358974358974
