chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.151	methylation_level_EPI.152	methylation_level_EPI.153	methylation_level_EPI.154	methylation_level_EPI.159	methylation_level_EPI.160	methylation_level_EPI.161	methylation_level_EPI.162	methylation_level_EPI.167	methylation_level_EPI.168	methylation_level_EPI.169	methylation_level_EPI.170
PGA_scaffold10__49_contigs__length_53961475	21060	21076	3	EPI-151,EPI-152	EPI-160,EPI-168	0.96875	0.958333333333333	1	NA	1	0.952380952380952	0.904761904761905	NA	1	0.870967741935484	1	0.933333333333333
PGA_scaffold10__49_contigs__length_53961475	43493922	43494160	5	EPI-154,EPI-152,EPI-168,EPI-170	EPI-162	0.642857142857143	0.828571428571429	NA	0.738095238095238	0.92	0.658536585365854	0.62962962962963	0.58695652173913	0.736842105263158	0.975609756097561	0.533333333333333	0.979591836734694
PGA_scaffold10__49_contigs__length_53961475	43828505	43828585	3	EPI-154,EPI-153,EPI-159	EPI-168,EPI-167	1	0.6875	1	0.888888888888889	1	0.75	0.739130434782609	NA	0.594594594594595	0.354838709677419	0.705882352941177	0.8
PGA_scaffold11__79_contigs__length_51449921	14810049	14810073	3	EPI-151,EPI-152	EPI-160,EPI-162	1	1	0.864864864864865	0.931034482758621	0.821428571428571	0.689655172413793	0.828571428571429	0.655172413793103	NA	0.974358974358974	1	0.978260869565217
PGA_scaffold12__71_contigs__length_50438331	16522828	16522843	4	EPI-151,EPI-152,EPI-154	EPI-161,EPI-170	0.916666666666667	0.839285714285714	0.857142857142857	0.916666666666667	0.833333333333333	0.625	0.2	NA	0.571428571428571	0.48	0.5	0.46875
PGA_scaffold14__91_contigs__length_45393038	18436762	18436766	4	EPI-168,EPI-170	EPI-153,EPI-159	0.689922480620155	0.742857142857143	0.573170731707317	0.641509433962264	0.577777777777778	0.761290322580645	0.60377358490566	0.652542372881356	0.770642201834862	0.803921568627451	0.695121951219512	0.814159292035398
PGA_scaffold14__91_contigs__length_45393038	26131159	26131174	3	EPI-151,EPI-159,EPI-161	EPI-168	0.388888888888889	0	0.285714285714286	0	0.378378378378378	0.103448275862069	0.476190476190476	0	NA	0	0.0555555555555556	0.1
PGA_scaffold14__91_contigs__length_45393038	44457501	44457537	4	EPI-160,EPI-162	EPI-168,EPI-151,EPI-170	0.746268656716418	0.769230769230769	0.833333333333333	0.933333333333333	0.933333333333333	0.960526315789474	0.769230769230769	1	0.774193548387097	0.647058823529412	1	0.754098360655738
PGA_scaffold15__101_contigs__length_47938513	5533043	5533096	10	EPI-151,EPI-152,EPI-161	EPI-167	0.628676470588235	0.630597014925373	0.555555555555556	0.451038575667656	0.512820512820513	0.444852941176471	0.572	0.489655172413793	0.297101449275362	0.443223443223443	0.495901639344262	0.531645569620253
PGA_scaffold15__101_contigs__length_47938513	14964840	14964881	8	EPI-151,EPI-152,EPI-154	EPI-159,EPI-170	0.980392156862745	0.964705882352941	1	1	0.5	0.891304347826087	NA	0.891891891891892	0.862068965517241	1	0.684210526315789	0.5
PGA_scaffold15__101_contigs__length_47938513	15010628	15010661	6	EPI-152,EPI-154	EPI-162,EPI-167	0.784810126582278	0.958904109589041	0.873015873015873	0.979166666666667	0.727272727272727	0.89010989010989	1	0.607594936708861	0.631578947368421	0.879310344827586	1	0.893939393939394
PGA_scaffold16__33_contigs__length_31980953	1816540	1816582	5	EPI-151,EPI-154,EPI-153		0.25	0.0256410256410256	0.5	0.423728813559322	NA	0.0232558139534884	0	0.0666666666666667	0	0.0689655172413793	0.0333333333333333	0.0638297872340425
PGA_scaffold17__51_contigs__length_34923512	10210451	10210484	4	EPI-152,EPI-154	EPI-168,EPI-169	0.107692307692308	0.185185185185185	0.075	0.30952380952381	0	0.0689655172413793	0.159090909090909	0.0384615384615385	0.178571428571429	0	0.0212765957446809	0.107142857142857
PGA_scaffold17__51_contigs__length_34923512	15397790	15397949	13	EPI-160,EPI-167,EPI-169,EPI-170,EPI-161	EPI-151,EPI-153,EPI-154	0.34965034965035	NA	0.44	0.0689655172413793	NA	0.828125	0.84	0.804878048780488	0.855263157894737	NA	0.854368932038835	0.974358974358974
PGA_scaffold17__51_contigs__length_34923512	27526128	27526140	3	EPI-152,EPI-153,EPI-159		0	0.142857142857143	0.166666666666667	0	0.166666666666667	0	0	0	0	0	NA	0
PGA_scaffold17__51_contigs__length_34923512	33530151	33530168	3	EPI-167,EPI-169	EPI-154,EPI-159	0.435897435897436	0.666666666666667	0.666666666666667	0.333333333333333	0.285714285714286	NA	0.625	0.571428571428571	0.833333333333333	NA	0.85	0.35
PGA_scaffold1__77_contigs__length_89643857	29387527	29387532	3	EPI-167,EPI-169	EPI-151,EPI-159	0.857142857142857	0.952380952380952	0.916666666666667	0.958333333333333	0.909090909090909	1	0.909090909090909	0.941176470588235	1	1	1	0.933333333333333
PGA_scaffold1__77_contigs__length_89643857	30599518	30599553	5	EPI-169,EPI-159,EPI-167,EPI-168	EPI-154	0.0833333333333333	0.142857142857143	0	0.0263157894736842	0.48	0.218181818181818	0.166666666666667	0.153846153846154	0.6	0.526315789473684	0.555555555555556	0.285714285714286
PGA_scaffold1__77_contigs__length_89643857	37332807	37332817	3	EPI-151,EPI-152	EPI-170,EPI-160,EPI-168	0.939393939393939	0.967741935483871	0.9	0.9	0.647058823529412	0.588235294117647	0.758620689655172	1	1	0.533333333333333	0.866666666666667	0.576923076923077
PGA_scaffold1__77_contigs__length_89643857	46778719	46778737	6	EPI-153,EPI-151	EPI-167	0.914285714285714	0.733333333333333	0.964285714285714	0.882352941176471	0.631578947368421	0.784615384615385	0.636363636363636	0.744186046511628	0.590361445783133	0.789473684210526	0.691358024691358	0.697674418604651
PGA_scaffold1__77_contigs__length_89643857	46781313	46781443	9	EPI-151,EPI-153,EPI-154	EPI-170,EPI-161,EPI-162	0.962962962962963	0.793650793650794	0.938144329896907	0.931034482758621	NA	0.552631578947368	0.0344827586206897	0.384615384615385	0.686746987951807	NA	0.613861386138614	0.0967741935483871
PGA_scaffold2__36_contigs__length_69596280	3272187	3272390	4	EPI-152,EPI-153,EPI-151	EPI-160,EPI-170	0.63	0.634920634920635	0.827956989247312	0.0909090909090909	0.80952380952381	0.241935483870968	0.4	0.176470588235294	0.5625	0.225	0.224489795918367	0.288888888888889
PGA_scaffold2__36_contigs__length_69596280	57125459	57125480	3	EPI-159,EPI-160	EPI-167	0.75	0.666666666666667	1	1	0.931034482758621	0.954545454545455	1	0.7	0.210526315789474	1	0.705882352941177	0.526315789473684
PGA_scaffold3__111_contigs__length_57743597	20885797	20885818	4	EPI-168,EPI-169	EPI-151,EPI-152,EPI-154	0.166666666666667	0.227272727272727	0.571428571428571	0.36	0.735294117647059	0.583333333333333	0.846153846153846	NA	0.8	0.852941176470588	0.838709677419355	0.571428571428571
PGA_scaffold3__111_contigs__length_57743597	25764259	25764281	4	EPI-161,EPI-159,EPI-152	EPI-169,EPI-167	0.705882352941177	1	1	NA	0.821428571428571	0.818181818181818	0.862068965517241	1	0.333333333333333	0.75	0.3	0.833333333333333
PGA_scaffold3__111_contigs__length_57743597	27375303	27375375	5	EPI-152,EPI-153,EPI-154	EPI-159,EPI-162,EPI-169,EPI-170	0.9	0.978947368421053	0.942028985507246	1	0.535714285714286	0.885714285714286	1	0.62962962962963	0.866666666666667	NA	0.421052631578947	0.674418604651163
PGA_scaffold3__111_contigs__length_57743597	28868108	28868263	7	EPI-151,EPI-154,EPI-153	EPI-160,EPI-167,EPI-168	0.925	0.6	0.857142857142857	0.895833333333333	NA	0.027027027027027	0.555555555555556	0.724137931034483	0	0.0238095238095238	NA	0.763157894736842
PGA_scaffold3__111_contigs__length_57743597	34590717	34590733	3	EPI-151,EPI-152,EPI-167	EPI-161	0.152439024390244	0.130081300813008	0.0623145400593472	0.0340136054421769	0.0335570469798658	0.0480769230769231	0.0126582278481013	0.0559440559440559	0.191780821917808	0.0301507537688442	0.0260586319218241	0.0333333333333333
PGA_scaffold3__111_contigs__length_57743597	37947348	37947367	3	EPI-151,EPI-152	EPI-160,EPI-169	1	1	1	0.925	1	0.413793103448276	NA	1	0.8	0.769230769230769	0.413793103448276	0.892857142857143
PGA_scaffold3__111_contigs__length_57743597	52925201	52925282	3	EPI-151,EPI-154	EPI-160,EPI-159	1	0.722222222222222	0.923076923076923	0.967741935483871	0.571428571428571	0.536585365853659	0.947368421052632	0.904761904761905	0.619047619047619	0.72	0.727272727272727	1
PGA_scaffold4__129_contigs__length_65288255	12563117	12563142	6	EPI-170,EPI-169	EPI-160,EPI-151,EPI-153	0.0666666666666667	NA	0	0.52	0.6	0.0238095238095238	0.266666666666667	0.725	0.36	0.372881355932203	0.608695652173913	1
PGA_scaffold4__129_contigs__length_65288255	26741450	26741467	3	EPI-151,EPI-162,EPI-154	EPI-168	1	0.566666666666667	0.578947368421053	0.833333333333333	0.708333333333333	0.5	0.5	1	0.6	0.277777777777778	0.9	NA
PGA_scaffold4__129_contigs__length_65288255	34777439	34777461	3	EPI-151,EPI-154,EPI-169	EPI-160,EPI-161	1	0.666666666666667	0.826086956521739	0.966666666666667	NA	0.518518518518518	0.277777777777778	1	0.794117647058823	0.666666666666667	0.964285714285714	0.828571428571429
PGA_scaffold4__129_contigs__length_65288255	54308012	54308195	7	EPI-160,EPI-161	EPI-153,EPI-168,EPI-170,EPI-154	0.92	NA	0.671875	0.588235294117647	NA	0.978723404255319	0.976190476190476	0.866666666666667	0.8	0	0.80952380952381	0.454545454545455
PGA_scaffold6__104_contigs__length_61759565	25730956	25730983	3	EPI-168,EPI-169	EPI-151,EPI-153,EPI-160	0	0.131868131868132	0	0.0810810810810811	0.0769230769230769	0	0.1	0.171428571428571	0.192307692307692	0.276923076923077	0.306122448979592	0.046875
PGA_scaffold6__104_contigs__length_61759565	34393744	34393775	3	EPI-159,EPI-160	EPI-153,EPI-168	0.636363636363636	NA	0.193548387096774	0.538461538461538	0.869565217391304	0.892857142857143	0.5	0.307692307692308	0.333333333333333	0.0909090909090909	0.583333333333333	NA
PGA_scaffold6__104_contigs__length_61759565	54132364	54132545	5	EPI-154,EPI-152	EPI-160,EPI-162	0.363636363636364	0.838709677419355	0.416666666666667	0.914285714285714	0.388888888888889	0.269230769230769	0.647058823529412	0.148148148148148	0.411764705882353	0.9	0	1
PGA_scaffold7__69_contigs__length_43120122	19201970	19201987	3	EPI-152,EPI-154	EPI-167,EPI-170	0.722222222222222	1	NA	0.955555555555556	0.80952380952381	0.897435897435897	0.888888888888889	0.888888888888889	0.291666666666667	0.791666666666667	0.944444444444444	0.545454545454545
PGA_scaffold7__69_contigs__length_43120122	33681503	33681658	6	EPI-151,EPI-154,EPI-152	EPI-160,EPI-162,EPI-167,EPI-168,EPI-169	0.917647058823529	0.88929889298893	0.859922178988327	0.937062937062937	0.84251968503937	0.771513353115727	0.84375	0.807142857142857	0.794701986754967	0.817351598173516	0.774011299435028	0.904458598726115
