chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.41	methylation_level_EPI.42	methylation_level_EPI.43	methylation_level_EPI.44	methylation_level_EPI.119	methylation_level_EPI.120	methylation_level_EPI.135	methylation_level_EPI.136	methylation_level_EPI.151	methylation_level_EPI.152	methylation_level_EPI.153	methylation_level_EPI.154	methylation_level_EPI.181	methylation_level_EPI.182	methylation_level_EPI.184	methylation_level_EPI.185
PGA_scaffold10__49_contigs__length_53961475	5150646	5150727	3	EPI-181,EPI-182	EPI-152,EPI-154,EPI-41,EPI-119	0.583333333333333	0.792452830188679	0.4	0.833333333333333	0.638297872340426	0.9	0.918032786885246	0.714285714285714	0.695652173913043	0.533333333333333	0.6	0.432432432432432	0.938271604938272	0.817073170731707	0.833333333333333	0.8
PGA_scaffold10__49_contigs__length_53961475	11112810	11112925	5	EPI-41,EPI-42,EPI-151,EPI-152	EPI-120,EPI-181,EPI-119,EPI-136,EPI-184	0.538461538461538	0.511627906976744	0.375	0.55	0.111111111111111	0.2	0.259259259259259	0.1625	0.625	0.537313432835821	0.393939393939394	0.375	0.333333333333333	0.241379310344828	0	NA
PGA_scaffold10__49_contigs__length_53961475	18556589	18556610	6	EPI-43,EPI-135,EPI-44,EPI-119	EPI-182	0.708333333333333	0.460526315789474	0.8	0.807692307692308	0.644444444444444	0.576271186440678	0.759259259259259	0.612244897959184	0.470588235294118	0.459016393442623	0.675675675675676	0.657142857142857	0.488372093023256	0.218181818181818	0.730769230769231	NA
PGA_scaffold10__49_contigs__length_53961475	19149223	19149262	3	EPI-42,EPI-185,EPI-182,EPI-184	EPI-119,EPI-151	0	0.177777777777778	0	NA	0	0.133333333333333	0.142857142857143	0	0	0	0.0909090909090909	0.0303030303030303	0	0.130434782608696	0.147058823529412	0.235294117647059
PGA_scaffold10__49_contigs__length_53961475	23948376	23948381	3	EPI-42,EPI-44	EPI-136,EPI-151,EPI-181	0.896551724137931	0.977272727272727	NA	1	0.861111111111111	NA	0.75	0.571428571428571	0.6	0.736842105263158	0.941176470588235	0.851851851851852	0.452380952380952	0.888888888888889	0.888888888888889	NA
PGA_scaffold11__79_contigs__length_51449921	34242236	34242266	4	EPI-42,EPI-135,EPI-44	EPI-151,EPI-152,EPI-153,EPI-154	0.666666666666667	0.928571428571429	NA	0.84	0.655172413793103	0.724137931034483	1	0.8	0.2	0.346153846153846	0.477272727272727	0.3	0.4375	0.686567164179104	0.916666666666667	NA
PGA_scaffold11__79_contigs__length_51449921	34247796	34247800	4	EPI-120,EPI-135	EPI-152,EPI-181	1	0.827586206896552	1	1	0.888888888888889	0.972972972972973	0.911764705882353	0.8	NA	0.363636363636364	0.7	0.777777777777778	0.5	0.8125	1	NA
PGA_scaffold11__79_contigs__length_51449921	46672494	46672516	3	EPI-41,EPI-44,EPI-120	EPI-152,EPI-153,EPI-181,EPI-184	0.666666666666667	0.416666666666667	NA	0.888888888888889	0.2	1	0.4375	0.523809523809524	0.133333333333333	0.0952380952380952	0.0555555555555556	0.2	0	0.1875	0	NA
PGA_scaffold12__71_contigs__length_50438331	43253817	43253856	9	EPI-41,EPI-43	EPI-151,EPI-181	1	0.920634920634921	0.979166666666667	1	1	0.96551724137931	0.958333333333333	NA	0.659574468085106	0.833333333333333	1	NA	0.567567567567568	0.931034482758621	0.947368421052632	NA
PGA_scaffold12__71_contigs__length_50438331	44184005	44184061	7	EPI-136,EPI-119	EPI-153	1	1	0.954545454545455	0.739130434782609	0.929824561403509	0.896551724137931	0.823529411764706	1	0.772727272727273	1	0.58	NA	0.953125	0.878787878787879	0.875	NA
PGA_scaffold12__71_contigs__length_50438331	44762795	44762845	5	EPI-152,EPI-153,EPI-151	EPI-119,EPI-135,EPI-44,EPI-120	0.451612903225806	0.396825396825397	0.454545454545455	0.15	0.32	0.25	0.204081632653061	0.333333333333333	0.871794871794872	0.872340425531915	0.761904761904762	0.6875	0.522727272727273	0.428571428571429	0.575757575757576	NA
PGA_scaffold13__52_contigs__length_44396874	6615896	6615915	4	EPI-41,EPI-44	EPI-182,EPI-136	0.789473684210526	0.68	0.642857142857143	0.8125	0.344827586206897	0.444444444444444	0.368421052631579	0.366666666666667	0.53125	NA	0.590909090909091	0.454545454545455	0.512820512820513	0.272727272727273	0.55	NA
