chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.151	methylation_level_EPI.152	methylation_level_EPI.153	methylation_level_EPI.154	methylation_level_EPI.159	methylation_level_EPI.160	methylation_level_EPI.161	methylation_level_EPI.162	methylation_level_EPI.167	methylation_level_EPI.168	methylation_level_EPI.169	methylation_level_EPI.170
PGA_scaffold10__49_contigs__length_53961475	21053	21076	3	EPI-151,EPI-152	EPI-160,EPI-162,EPI-168	0.983870967741935	0.981481481481482	0.846153846153846	1	0.866666666666667	0.743589743589744	0.902439024390244	0.5	0.878787878787879	0.807017543859649	0.863636363636364	0.96969696969697
PGA_scaffold10__49_contigs__length_53961475	43494141	43494160	4	EPI-152,EPI-168,EPI-170	EPI-162	0.642857142857143	1	NA	0.689655172413793	0.9	0.666666666666667	1	0.525	0.789473684210526	0.975609756097561	0.8	1
PGA_scaffold11__79_contigs__length_51449921	14810047	14810100	5	EPI-151,EPI-169,EPI-152,EPI-168	EPI-160,EPI-162	0.985915492957746	0.9875	0.903225806451613	0.958333333333333	0.895833333333333	0.823529411764706	0.879310344827586	0.795918367346939	NA	0.984615384615385	1	0.974358974358974
PGA_scaffold12__71_contigs__length_50438331	16522828	16522872	5	EPI-151,EPI-152,EPI-154,EPI-153	EPI-161,EPI-170,EPI-168	0.933333333333333	0.842857142857143	0.857142857142857	0.933333333333333	0.833333333333333	0.625	0.2	NA	0.571428571428571	0.5	0.533333333333333	0.475
PGA_scaffold12__71_contigs__length_50438331	30777475	30777509	3	EPI-160,EPI-162		0	0	0.0476190476190476	0	0	0.297297297297297	0	0.210526315789474	0.136363636363636	0	0	0
PGA_scaffold13__52_contigs__length_44396874	43165248	43165273	4	EPI-162,EPI-167,EPI-160	EPI-151,EPI-152	0.294117647058824	0.2	1	0.666666666666667	0.631578947368421	0.947368421052632	NA	1	1	NA	0.916666666666667	0.692307692307692
PGA_scaffold14__91_contigs__length_45393038	18436762	18436766	4	EPI-168,EPI-170	EPI-153,EPI-159	0.689922480620155	0.742857142857143	0.573170731707317	0.641509433962264	0.577777777777778	0.761290322580645	0.60377358490566	0.652542372881356	0.770642201834862	0.803921568627451	0.695121951219512	0.814159292035398
PGA_scaffold14__91_contigs__length_45393038	19166033	19166048	3	EPI-162,EPI-161	EPI-154,EPI-151	0.478260869565217	0.578947368421053	0.6	0.551724137931034	0.666666666666667	0.714285714285714	0.846153846153846	0.931034482758621	0.641509433962264	0.59375	0.720930232558139	0.515151515151515
PGA_scaffold14__91_contigs__length_45393038	34996189	34996265	3	EPI-151,EPI-152	EPI-167,EPI-162,EPI-170	0.813953488372093	0.776785714285714	0.775280898876405	0.779411764705882	0.759259259259259	0.672413793103448	0.758064516129032	0.379310344827586	0.602564102564103	0.844444444444444	0.538461538461538	0.609375
PGA_scaffold15__101_contigs__length_47938513	14964840	14964881	8	EPI-151,EPI-152,EPI-154	EPI-159,EPI-170	0.980392156862745	0.964705882352941	1	1	0.5	0.891304347826087	NA	0.891891891891892	0.862068965517241	1	0.684210526315789	0.5
PGA_scaffold15__101_contigs__length_47938513	15010628	15010661	5	EPI-152,EPI-154	EPI-162,EPI-167	0.784810126582278	0.958904109589041	0.873015873015873	0.979166666666667	0.727272727272727	0.89010989010989	1	0.607594936708861	0.631578947368421	0.879310344827586	1	0.893939393939394
PGA_scaffold16__33_contigs__length_31980953	1816515	1816582	6	EPI-151,EPI-154,EPI-153	EPI-160,EPI-167	0.238095238095238	0.0208333333333333	0.5	0.409090909090909	NA	0.0204081632653061	0	0.0666666666666667	0	0.0571428571428571	0.027027027027027	0.0545454545454545
PGA_scaffold16__33_contigs__length_31980953	26709087	26709154	6	EPI-159,EPI-160	EPI-168	0.96551724137931	0.780487804878049	0.853658536585366	1	0.978723404255319	0.987179487179487	1	1	0.848484848484849	0.551724137931034	1	0.75
PGA_scaffold17__51_contigs__length_34923512	10210451	10210485	4	EPI-152,EPI-154	EPI-168,EPI-169	0.128205128205128	0.212121212121212	0.1	0.333333333333333	0	0.0793650793650794	0.178571428571429	0.0615384615384615	0.2	0	0.0181818181818182	0.117647058823529
PGA_scaffold17__51_contigs__length_34923512	11543869	11543894	3	EPI-151,EPI-152	EPI-167,EPI-170	1	1	0.958333333333333	0.764705882352941	0.9	0.758620689655172	1	1	0.655172413793103	0.827586206896552	0.882352941176471	0.583333333333333
PGA_scaffold17__51_contigs__length_34923512	15397772	15397949	14	EPI-167,EPI-169,EPI-160,EPI-170,EPI-161	EPI-151,EPI-153,EPI-154	0.371794871794872	NA	0.44	0.0689655172413793	NA	0.827067669172932	0.84	0.804878048780488	0.864197530864197	NA	0.862385321100917	0.974358974358974
PGA_scaffold17__51_contigs__length_34923512	27526119	27526152	6	EPI-152,EPI-153,EPI-159		0	0.166666666666667	0.166666666666667	0	0.166666666666667	0	0	0	0	0	NA	0
