chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.103	methylation_level_EPI.104	methylation_level_EPI.111	methylation_level_EPI.113	methylation_level_EPI.119	methylation_level_EPI.120	methylation_level_EPI.135	methylation_level_EPI.136	methylation_level_EPI.127	methylation_level_EPI.128	methylation_level_EPI.143	methylation_level_EPI.145
PGA_scaffold10__49_contigs__length_53961475	10029611	10029643	7	EPI-104,EPI-103,EPI-119,EPI-127	EPI-113,EPI-143	0.902439024390244	0.666666666666667	0.866666666666667	0	0.918918918918919	0.8	0.3125	0.6	0.952380952380952	NA	0.5	0.608695652173913
PGA_scaffold10__49_contigs__length_53961475	13645155	13645260	5	EPI-113,EPI-111	EPI-104,EPI-135	1	0.5	1	0.96078431372549	0.904761904761905	NA	0.636363636363636	1	NA	0.785714285714286	NA	1
PGA_scaffold10__49_contigs__length_53961475	21125202	21125260	9	EPI-111,EPI-113	EPI-103,EPI-104,EPI-120	0.78125	0.87037037037037	1	1	0.923076923076923	0.758620689655172	0.96875	0.986111111111111	0.974025974025974	0.955223880597015	0.927710843373494	0.944444444444444
PGA_scaffold10__49_contigs__length_53961475	24426830	24426843	5	EPI-111,EPI-145	EPI-119,EPI-128	0.942857142857143	0.96078431372549	1	1	0.5	0.930232558139535	0.86046511627907	0.88135593220339	NA	0.741379310344828	0.868421052631579	1
PGA_scaffold10__49_contigs__length_53961475	24776144	24776185	10	EPI-128,EPI-104	EPI-119,EPI-143	0.236220472440945	0.25	0.161290322580645	0.188811188811189	0.0594594594594595	0.132	0.189349112426035	0.224358974358974	0.171717171717172	0.304568527918782	0.106918238993711	0.134328358208955
PGA_scaffold11__79_contigs__length_51449921	28525380	28525395	4	EPI-111,EPI-113	EPI-135,EPI-128	0.578947368421053	0.928571428571429	0.882352941176471	1	NA	0.735294117647059	0.4	0.551724137931034	0.722222222222222	0.475	NA	0.473684210526316
PGA_scaffold11__79_contigs__length_51449921	39354932	39354946	3	EPI-111,EPI-113	EPI-127,EPI-128	NA	0.777777777777778	1	0.944444444444444	0.842105263157895	NA	0.590909090909091	0.821428571428571	0.384615384615385	0.466666666666667	NA	0.473684210526316
PGA_scaffold11__79_contigs__length_51449921	48720902	48721040	3	EPI-113,EPI-136,EPI-135	EPI-104,EPI-128	0.285714285714286	0.0555555555555556	0.380952380952381	0.633333333333333	0.130434782608696	0.714285714285714	0.818181818181818	0.78125	0.3125	0.2	0.333333333333333	0.230769230769231
PGA_scaffold12__71_contigs__length_50438331	1231053	1231093	8	EPI-120,EPI-136		0.0714285714285714	0	0.0103092783505155	0	0.0806451612903226	0.181818181818182	0	0.105882352941176	0.0256410256410256	0.08	0.0454545454545455	0
PGA_scaffold12__71_contigs__length_50438331	1231495	1231568	7	EPI-119,EPI-136	EPI-145	0	0.032258064516129	0	NA	0.0752688172043011	0	0.137931034482759	0.301369863013699	0	0	0	0
