chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.41	methylation_level_EPI.42	methylation_level_EPI.43	methylation_level_EPI.44	methylation_level_EPI.119	methylation_level_EPI.120	methylation_level_EPI.135	methylation_level_EPI.136	methylation_level_EPI.151	methylation_level_EPI.152	methylation_level_EPI.153	methylation_level_EPI.154	methylation_level_EPI.181	methylation_level_EPI.182	methylation_level_EPI.184	methylation_level_EPI.185
PGA_scaffold10__49_contigs__length_53961475	11112810	11112940	7	EPI-41,EPI-42,EPI-151,EPI-152	EPI-120,EPI-181,EPI-119,EPI-136,EPI-182,EPI-184	0.54	0.536082474226804	0.394366197183099	0.55	0.138888888888889	0.229508196721311	0.278688524590164	0.166666666666667	0.660714285714286	0.552631578947368	0.393939393939394	0.391304347826087	0.351351351351351	0.26984126984127	0	NA
PGA_scaffold10__49_contigs__length_53961475	18556589	18556610	6	EPI-43,EPI-135,EPI-44,EPI-119	EPI-182	0.708333333333333	0.460526315789474	0.8	0.807692307692308	0.644444444444444	0.576271186440678	0.759259259259259	0.612244897959184	0.470588235294118	0.459016393442623	0.675675675675676	0.657142857142857	0.488372093023256	0.218181818181818	0.730769230769231	NA
PGA_scaffold10__49_contigs__length_53961475	23948376	23948381	3	EPI-42,EPI-44	EPI-136,EPI-151,EPI-181	0.896551724137931	0.977272727272727	NA	1	0.861111111111111	NA	0.75	0.571428571428571	0.6	0.736842105263158	0.941176470588235	0.851851851851852	0.452380952380952	0.888888888888889	0.888888888888889	NA
PGA_scaffold11__79_contigs__length_51449921	34242236	34242266	4	EPI-42,EPI-44,EPI-135	EPI-151,EPI-152,EPI-153,EPI-154,EPI-181	0.666666666666667	0.928571428571429	NA	0.84	0.655172413793103	0.724137931034483	1	0.8	0.2	0.346153846153846	0.477272727272727	0.3	0.4375	0.686567164179104	0.916666666666667	NA
PGA_scaffold11__79_contigs__length_51449921	34247796	34247828	7	EPI-43,EPI-120,EPI-135	EPI-152,EPI-181	0.846153846153846	0.672727272727273	0.958333333333333	0.827586206896552	0.892857142857143	0.893939393939394	0.862068965517241	0.68	NA	0.431818181818182	0.8	0.642857142857143	0.545454545454545	0.833333333333333	1	NA
PGA_scaffold11__79_contigs__length_51449921	46397175	46397240	6	EPI-41,EPI-42,EPI-43	EPI-135,EPI-136,EPI-185	0.473684210526316	0.340909090909091	0.384615384615385	0.0882352941176471	0.164948453608247	0.184	0.0973451327433628	0.0375	0.194029850746269	0.25	0.294117647058824	0.132530120481928	0.104166666666667	0.0833333333333333	0.166666666666667	0
PGA_scaffold11__79_contigs__length_51449921	46672468	46672516	4	EPI-41,EPI-44,EPI-120	EPI-152,EPI-154,EPI-184,EPI-153,EPI-181	0.692307692307692	0.416666666666667	NA	0.833333333333333	0.2	1	0.4375	0.444444444444444	0.133333333333333	0.0740740740740741	0.0555555555555556	0.15	0	0.1875	0	NA
PGA_scaffold12__71_contigs__length_50438331	7000227	7000253	3	EPI-154,EPI-151,EPI-152	EPI-135,EPI-181	NA	0.892857142857143	0.9	0.666666666666667	0.676470588235294	0.7	0.482758620689655	NA	1	0.967741935483871	0.764705882352941	1	0.6	0.8	0.909090909090909	0.8
PGA_scaffold12__71_contigs__length_50438331	19367759	19368101	7	EPI-43,EPI-151,EPI-154	EPI-119,EPI-182,EPI-120	0.0131578947368421	0.0235294117647059	0.402597402597403	0.0526315789473684	0.0591133004926108	0	0.0128205128205128	0.0735294117647059	0.3125	0	NA	0.09375	0	0	0.0487804878048781	NA
PGA_scaffold12__71_contigs__length_50438331	43253817	43253895	12	EPI-41,EPI-43	EPI-151,EPI-181	1	0.886075949367089	0.983606557377049	1	1	0.972222222222222	0.958333333333333	NA	0.661016949152542	0.868421052631579	1	1	0.613636363636364	0.936708860759494	0.962962962962963	NA
PGA_scaffold12__71_contigs__length_50438331	44762795	44762874	6	EPI-152,EPI-153,EPI-151	EPI-119,EPI-135,EPI-44,EPI-120,EPI-136	0.473684210526316	0.384615384615385	0.425	0.16	0.306451612903226	0.2	0.213114754098361	0.275	0.745098039215686	0.766666666666667	0.796296296296296	0.5	0.481481481481481	0.377358490566038	0.465116279069767	NA
PGA_scaffold13__52_contigs__length_44396874	3600199	3600317	7	EPI-42,EPI-43,EPI-184,EPI-182	EPI-120,EPI-136,EPI-119,EPI-152	0.785714285714286	0.978494623655914	0.964285714285714	NA	0.776595744680851	0.657142857142857	0.790697674418605	0.594594594594595	NA	0.777777777777778	0.744186046511628	0.75609756097561	0.837837837837838	0.717391304347826	0.976190476190476	NA
PGA_scaffold13__52_contigs__length_44396874	6615896	6615924	3	EPI-41,EPI-44	EPI-119,EPI-136,EPI-182	0.740740740740741	0.6875	0.648648648648649	0.837209302325581	0.358974358974359	0.4	0.42	0.35	0.48780487804878	NA	0.586206896551724	0.411764705882353	0.555555555555556	0.321428571428571	0.566666666666667	NA
PGA_scaffold13__52_contigs__length_44396874	12135778	12135820	3	EPI-41,EPI-43,EPI-181	EPI-119,EPI-120	0.862068965517241	0.568181818181818	0.825	0.529411764705882	0.337662337662338	0.410714285714286	0.660377358490566	0.5	0.63265306122449	0.551020408163265	0.608695652173913	0.693877551020408	0.720930232558139	0.391304347826087	0.611111111111111	0.466666666666667
