#chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI-205	methylation_level_EPI-206	methylation_level_EPI-214	methylation_level_EPI-215	methylation_level_EPI-220	methylation_level_EPI-221	methylation_level_EPI-226	methylation_level_EPI-227
PGA_scaffold10__49_contigs__length_53961475	24714287	24714301	4	EPI-206,EPI-226,EPI-227	EPI-214,EPI-215	0.6666666666666666	0.9444444444444444	0.25806451612903225	0.3333333333333333	0.36363636363636365	0.6666666666666666	1.0	1.0
PGA_scaffold11__79_contigs__length_51449921	1542754	1542811	3	EPI-215,EPI-220	EPI-226,EPI-205	0.36363636363636365	0.8333333333333334	NA	1.0	1.0	NA	0.15789473684210525	0.75
PGA_scaffold11__79_contigs__length_51449921	41762168	41762215	5	EPI-215,EPI-220	EPI-206	NA	0.0967741935483871	0.5333333333333333	1.0	0.8333333333333334	0.45454545454545453	0.3333333333333333	0.3333333333333333
PGA_scaffold11__79_contigs__length_51449921	46692953	46692987	3	EPI-215,EPI-221	EPI-206	0.3333333333333333	0.0625	0.0	1.0	NA	1.0	0.16666666666666666	NA
PGA_scaffold13__52_contigs__length_44396874	12130156	12130180	3	EPI-205,EPI-226	EPI-214,EPI-220	0.6666666666666666	0.45454545454545453	0.0	0.16666666666666666	0.0	0.4	0.5714285714285714	0.3333333333333333
PGA_scaffold13__52_contigs__length_44396874	17574535	17574550	3	EPI-220,EPI-215	EPI-206	NA	0.0	NA	0.6875	1.0	NA	NA	NA
PGA_scaffold14__91_contigs__length_45393038	7707796	7707940	8	EPI-214,EPI-215	EPI-206	0.6216216216216216	0.034482758620689655	0.8805970149253731	0.9384615384615385	0.6818181818181818	0.75	NA	NA
PGA_scaffold14__91_contigs__length_45393038	7715686	7715988	3	EPI-214,EPI-215	EPI-205	0.59375	0.0	0.8842105263157894	0.9285714285714286	0.625	0.23809523809523808	NA	1.0
PGA_scaffold15__101_contigs__length_47938513	5533043	5533096	10	EPI-205,EPI-227	EPI-221	0.75	0.5158371040723982	0.5429447852760736	0.5737704918032787	0.5397727272727273	0.42342342342342343	0.656	0.6946564885496184
PGA_scaffold15__101_contigs__length_47938513	18905758	18905806	7	EPI-206,EPI-227	EPI-215	NA	0.8571428571428571	NA	0.0	NA	NA	NA	0.9523809523809523
PGA_scaffold17__51_contigs__length_34923512	12927066	12927085	3	EPI-214,EPI-221	EPI-226	NA	NA	0.9166666666666666	NA	NA	1.0	0.0	NA
PGA_scaffold17__51_contigs__length_34923512	16370541	16370565	3	EPI-214,EPI-221	EPI-206	NA	0.0	1.0	0.6842105263157895	NA	1.0	NA	NA
PGA_scaffold17__51_contigs__length_34923512	16402132	16402147	4	EPI-205,EPI-206	EPI-214,EPI-220	0.42105263157894735	0.48148148148148145	0.0	0.2	0.0	0.0	NA	0.25
PGA_scaffold17__51_contigs__length_34923512	19237400	19237465	5	EPI-215,EPI-220	EPI-206	0.42	0.36936936936936937	0.3333333333333333	0.5192307692307693	0.676056338028169	0.23404255319148937	0.4318181818181818	0.35
