chr	start	end	number_of_dms	hypermethylated_samples	hypomethylated_samples	methylation_level_EPI.103	methylation_level_EPI.104	methylation_level_EPI.111	methylation_level_EPI.113	methylation_level_EPI.119	methylation_level_EPI.120	methylation_level_EPI.135	methylation_level_EPI.136	methylation_level_EPI.127	methylation_level_EPI.128	methylation_level_EPI.143	methylation_level_EPI.145	methylation_level_EPI.41	methylation_level_EPI.42	methylation_level_EPI.43	methylation_level_EPI.44	methylation_level_EPI.151	methylation_level_EPI.152	methylation_level_EPI.153	methylation_level_EPI.154	methylation_level_EPI.181	methylation_level_EPI.182	methylation_level_EPI.184	methylation_level_EPI.185	methylation_level_EPI.159	methylation_level_EPI.160	methylation_level_EPI.161	methylation_level_EPI.162	methylation_level_EPI.167	methylation_level_EPI.168	methylation_level_EPI.169	methylation_level_EPI.170	methylation_level_EPI.175	methylation_level_EPI.176	methylation_level_EPI.187	methylation_level_EPI.188	methylation_level_EPI.193	methylation_level_EPI.194	methylation_level_EPI.199	methylation_level_EPI.200	methylation_level_EPI.205	methylation_level_EPI.206	methylation_level_EPI.208	methylation_level_EPI.209	methylation_level_EPI.214	methylation_level_EPI.215	methylation_level_EPI.220	methylation_level_EPI.221	methylation_level_EPI.226	methylation_level_EPI.227	methylation_level_EPI.229	methylation_level_EPI.230
Scaffold_01	191248	191299	6	EPI-42,EPI-44,EPI-159,EPI-162,EPI-199,EPI-200,EPI-152	EPI-120	0.0543478260869565	0.0520833333333333	0.0421052631578947	0.104761904761905	0.0347826086956522	0	0	0.064	0.0793650793650794	0.0930232558139535	0.0495049504950495	0.0530973451327434	NA	0.26	0.0631578947368421	0.25	0.116666666666667	0.182926829268293	0	0.09375	0.0666666666666667	0.0350877192982456	0.0925925925925926	0	0.227272727272727	0.0337078651685393	0.145161290322581	0.148648648648649	0.0408163265306122	0.0298507462686567	0.0909090909090909	0.0930232558139535	0.0588235294117647	0.101010101010101	0.072463768115942	0.108695652173913	0.0588235294117647	0.0967741935483871	0.403508771929825	0.159090909090909	0	0.108695652173913	0.0298507462686567	0.0833333333333333	0.0416666666666667	0.0952380952380952	0	0.142857142857143	0.0769230769230769	0.0555555555555556	0.0845070422535211	0.108695652173913
Scaffold_01	216134	216175	3	EPI-209,EPI-229,EPI-127,EPI-145	EPI-43,EPI-152,EPI-167,EPI-200,EPI-41,EPI-160,EPI-162,EPI-205,EPI-206	0.758620689655172	0.732142857142857	0.761904761904762	0.836734693877551	0.714285714285714	0.795918367346939	0.82051282051282	NA	1	0.75	NA	0.968253968253968	0.625	0.682926829268293	0.681818181818182	0.8	0.720588235294118	0.711111111111111	0.785714285714286	0.84375	0.9	0.78125	0.724137931034483	0.6	0.870967741935484	0.666666666666667	NA	0.5	0.58974358974359	0.838709677419355	0.71875	0.8	0.714285714285714	0.868421052631579	0.826086956521739	0.7	0.82051282051282	0.880597014925373	0.885714285714286	0.725490196078431	0.2	0.5	0.857142857142857	0.931506849315068	0.588235294117647	0.804347826086957	NA	0.666666666666667	NA	0.666666666666667	0.886792452830189	0.829787234042553
Scaffold_01	660958	660981	4	EPI-42,EPI-184,EPI-159,EPI-206,EPI-229,EPI-43,EPI-162	EPI-103,EPI-143,EPI-145,EPI-176,EPI-187,EPI-215	0.2875	0.489795918367347	0.394957983193277	0.504132231404959	0.520833333333333	0.390243902439024	0.430769230769231	0.380434782608696	0.396825396825397	0.448598130841121	0.24	0.346938775510204	0.533333333333333	0.771929824561403	0.782608695652174	0.384615384615385	0.611111111111111	0.5125	0.6	0.317073170731707	0.415094339622642	0.422680412371134	0.735294117647059	0.333333333333333	0.636363636363636	0.479452054794521	0.4	0.777777777777778	0.557692307692308	0.591836734693878	0.303030303030303	0.324324324324324	0.519230769230769	0.306666666666667	0.303571428571429	0.5	0.604651162790698	0.506329113924051	0.41025641025641	0.428571428571429	NA	0.666666666666667	0.581395348837209	0.527777777777778	0.564516129032258	0.189189189189189	0.363636363636364	0.435897435897436	0.466666666666667	0.612903225806452	0.709677419354839	0.405405405405405
Scaffold_01	2638531	2638602	4	EPI-104,EPI-120,EPI-127,EPI-44,EPI-194,EPI-200,EPI-208,EPI-209,EPI-136,EPI-143,EPI-145,EPI-215		0.0114942528735632	0.163265306122449	0	0.0113636363636364	0	0.146666666666667	0.0396039603960396	0.107438016528926	0.121951219512195	0.0126582278481013	0.144927536231884	0.10126582278481	0.046875	0.0307692307692308	0.0862068965517241	0.136363636363636	0.0119047619047619	0.0574712643678161	0.0235294117647059	0.0309278350515464	0.0319148936170213	0	0.0178571428571429	0	0.0735294117647059	0.0879120879120879	0.012987012987013	0	0.0166666666666667	0.0114942528735632	0	0.0103092783505155	0.0147058823529412	0	0.0229885057471264	0.0625	0.03125	0.118811881188119	0.0714285714285714	0.161764705882353	0	0.0128205128205128	0.151515151515152	0.176470588235294	0.105882352941176	0.0921052631578947	0.0666666666666667	0	0.0975609756097561	0.0277777777777778	0	0
Scaffold_01	3273150	3273193	3	EPI-104,EPI-135,EPI-136,EPI-152,EPI-168,EPI-215,EPI-220		0.0263157894736842	0.215686274509804	0	0	0	0.024390243902439	0.238095238095238	0.195652173913043	0	0.101449275362319	0.1	0	0	0.2	0.0625	0	0	0.3	0.166666666666667	0	0.136363636363636	0	NA	0.166666666666667	0.333333333333333	0	0.161290322580645	0.0476190476190476	0	0.368421052631579	0.037037037037037	0.142857142857143	0.03125	0	0	0	0.0285714285714286	0	0.2	0.0869565217391304	0.0588235294117647	0	0.027027027027027	0	0.0263157894736842	0.315789473684211	0.375	NA	NA	0	0	0.037037037037037
Scaffold_01	3726041	3726149	5	EPI-104,EPI-188,EPI-194,EPI-205,EPI-221,EPI-227		0	0.352941176470588	0	0	0	0	0	0	0	0.0697674418604651	0	0	0	0	0.024390243902439	NA	0	0.0181818181818182	0	0	0	0	0	NA	0	0.0196078431372549	0	0	0.0869565217391304	0	0	0	0	0	0	0.418604651162791	0	0.4	0	0	0.421875	0.0285714285714286	0	0	0.0125	0.03125	NA	0.666666666666667	NA	0.55	0	0
Scaffold_01	4781005	4781034	4	EPI-103,EPI-160,EPI-194,EPI-200,EPI-227,EPI-182,EPI-162,EPI-169		0.0810810810810811	0.0168067226890756	0	0	0	0	0.0181818181818182	0	0	0	0	0.0547945205479452	0	0	0	0	0	0.0120481927710843	0	0	0	0.075	0.0238095238095238	NA	0	0.0897435897435897	0.0204081632653061	0.072463768115942	0	0	0.0816326530612245	0	0.0487804878048781	0.00934579439252336	0.0465116279069767	0	0	0.121621621621622	0	0.0666666666666667	0	0	0.0103092783505155	0	0.0136986301369863	0.0263157894736842	0	0.0178571428571429	0.0588235294117647	0.0975609756097561	0	0
Scaffold_01	7368135	7368181	4	EPI-119,EPI-128,EPI-44,EPI-151,EPI-152,EPI-200,EPI-111	EPI-168,EPI-194,EPI-205,EPI-209,EPI-221,EPI-162,EPI-170	0.388888888888889	0.642857142857143	0.775	0.461538461538462	0.652777777777778	0.682926829268293	0.605263157894737	0.684210526315789	0.634920634920635	0.816901408450704	0.620689655172414	0.66	0.403846153846154	0.6375	0.473684210526316	0.875	0.765957446808511	0.892857142857143	0.631578947368421	0.636363636363636	0.588235294117647	0.592592592592593	0.636363636363636	0.606060606060606	0.571428571428571	0.48	NA	0.324324324324324	0.361702127659574	0.333333333333333	0.578947368421053	0.340425531914894	0.463768115942029	0.472222222222222	0.435897435897436	NA	0.425	0.3	0.333333333333333	0.857142857142857	0.185185185185185	0.426229508196721	0.446428571428571	0.30188679245283	0.591549295774648	0.545454545454545	0.392857142857143	0.324324324324324	0.9	0.4	0.526315789473684	0.464285714285714
Scaffold_01	8454691	8454722	5	EPI-153,EPI-185,EPI-167,EPI-193,EPI-229,EPI-44,EPI-209		0	0	0	0.0161290322580645	0.010989010989011	0	0	0	0.0294117647058824	0	0	0	0	0	0	0.0547945205479452	0.00598802395209581	0.0136986301369863	0.0677966101694915	0	0	0.0227272727272727	0	0.171875	0.024390243902439	0.0116279069767442	0.0178571428571429	0	0.0512820512820513	0.025	0.038961038961039	0	0.0133333333333333	0.0111731843575419	0	0.0147058823529412	0.048951048951049	0.0252100840336134	0	0	0	0	0	0.0490196078431373	0	0.0125	0.025	0.0212765957446809	NA	0	0.0769230769230769	0
Scaffold_01	8853795	8854263	21	EPI-145,EPI-152,EPI-181,EPI-161,EPI-229,EPI-199,EPI-200,EPI-209,EPI-128,EPI-143,EPI-153,EPI-151,EPI-206,EPI-214		0	0.0309278350515464	0.00341296928327645	0.00460829493087558	0.0211864406779661	0	0	0.015625	0	0.232876712328767	0.154639175257732	0.0388888888888889	0.010752688172043	0.0256410256410256	0.0135135135135135	NA	0.0392156862745098	0.168141592920354	0.0573476702508961	0.0153846153846154	0.268852459016393	0.0241935483870968	0.0149253731343284	0.0227272727272727	0	0.00364963503649635	0.184210526315789	0.00480769230769231	0.0268456375838926	0.01953125	0.010989010989011	0.0133928571428571	0.0271493212669683	0.0185567010309278	0.012987012987013	0.0217391304347826	0.00873362445414847	0.00675675675675676	0.258064516129032	0.0365296803652968	0.0155440414507772	0.0597014925373134	0.00719424460431655	0.201342281879195	0.0405405405405405	0	0	0.00775193798449612	0.0487804878048781	0	0.0627615062761506	0.0265151515151515
Scaffold_01	12197945	12198244	6	EPI-143,EPI-154,EPI-199,EPI-208,EPI-209,EPI-145,EPI-169,EPI-176,EPI-193,EPI-200,EPI-229,EPI-159,EPI-220,EPI-153	EPI-119	0.019047619047619	0.050251256281407	0.00512820512820513	0.0420168067226891	0.0288065843621399	0.0669856459330144	0.054726368159204	0.0263157894736842	0.0454545454545455	0.0944206008583691	0.101941747572816	0.105072463768116	0.032	0.037593984962406	0.128440366972477	0.0697674418604651	0.0561797752808989	0.0114942528735632	0.043859649122807	0.206896551724138	0.0103092783505155	0	0.0136986301369863	0	0.087719298245614	0.040650406504065	0.0608695652173913	0.0465116279069767	0.0151515151515152	0.0403225806451613	0.11	0.0631578947368421	0.00684931506849315	0.0598802395209581	0.0425531914893617	0.0396825396825397	0.21505376344086	0.0652173913043478	0.161290322580645	0.116666666666667	0	0.0769230769230769	0.131313131313131	0.133928571428571	0.0138888888888889	0.0327868852459016	0.0540540540540541	0.04	0.0416666666666667	0.0294117647058824	0.108108108108108	0.0632911392405063
Scaffold_01	12202914	12202942	5	EPI-162,EPI-170,EPI-194,EPI-151,EPI-152,EPI-167,EPI-226	EPI-103,EPI-136,EPI-128,EPI-220	0.0178571428571429	0.0869565217391304	0.0285714285714286	0.08	0.0720720720720721	0.152173913043478	0.0677966101694915	0	0.0689655172413793	0.0163934426229508	0.0689655172413793	0.122448979591837	0.103448275862069	0.12280701754386	0.125	0.1	0.235294117647059	0.212121212121212	0.027027027027027	0.157894736842105	0	0.0454545454545455	0.162162162162162	NA	NA	0.105263157894737	0	0.303571428571429	0.2	0.105263157894737	0.0975609756097561	0.246753246753247	0.189655172413793	0.179487179487179	0.105263157894737	0.170212765957447	0.162790697674419	0.333333333333333	0.0833333333333333	0.0714285714285714	NA	0.142857142857143	0.0810810810810811	0.117647058823529	0.150537634408602	0.0952380952380952	0	0.0810810810810811	0.272727272727273	0.166666666666667	0.2	0.130434782608696
Scaffold_01	12491276	12491299	3	EPI-43,EPI-154,EPI-169,EPI-170	EPI-104,EPI-119,EPI-120,EPI-145,EPI-214,EPI-187	0.608695652173913	0.411764705882353	0.470588235294118	0.6	0.392857142857143	0.428571428571429	0.627906976744186	0.676470588235294	0.526315789473684	0.470588235294118	0.451612903225806	0.333333333333333	0.55	0.6	0.8	0.620689655172414	0.708333333333333	0.683333333333333	0.518518518518518	0.761904761904762	0.564102564102564	0.465116279069767	0.76	0.444444444444444	0.487179487179487	0.695652173913043	0.675675675675676	0.727272727272727	0.521739130434783	0.666666666666667	0.787878787878788	0.769230769230769	0.479166666666667	0.614035087719298	0.333333333333333	0.645161290322581	0.72	0.619047619047619	0.65625	0.651162790697674	0.636363636363636	0.523809523809524	0.58974358974359	0.5	0.4	0.67741935483871	0.62962962962963	0.454545454545455	0.513513513513513	0.4375	0.684210526315789	0.578947368421053
Scaffold_01	12821236	12821441	6	EPI-119,EPI-44,EPI-159,EPI-175,EPI-187,EPI-206,EPI-153,EPI-184,EPI-170,EPI-154,EPI-229		0	0.0160427807486631	0.00645161290322581	0.027027027027027	0.037593984962406	0.0065359477124183	0.015748031496063	0.0136054421768707	0	0.0152671755725191	0.00943396226415094	0.01	0.0101010101010101	0.0414746543778802	0	0.0571428571428571	0.0810810810810811	0.00662251655629139	0.122950819672131	0.0625	0.0130718954248366	0.0186046511627907	0.0842105263157895	0	0.111111111111111	0	0.0158730158730159	0.0138888888888889	0.0714285714285714	0.0273972602739726	0.0217391304347826	0.0948275862068965	0.0600858369098712	0.016260162601626	0.105263157894737	0.010989010989011	0	0.00540540540540541	0	0	0.0333333333333333	0.122950819672131	0.0169491525423729	0.0227272727272727	0.0273972602739726	0	0.0128205128205128	0.00917431192660551	NA	0.0112359550561798	0.0305343511450382	0
