ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
Scaffold_01:10018552-10018646,0.157731537636696,-0.0294392317773717,0.146430766334457,0.842714586954308,0.461878160329929,3,7.75326059996797,-7.50652119993593,-5.56689460078393,0.192977723963668,9
Scaffold_01:10018698-10018792,0.446363903693311,0.323333660069602,0.080828128244957,3.62808274247206,0.0699052494788503,3,14.8839930625575,-21.7679861251151,-19.8283595259631,0.058798676840249,9
Scaffold_01:11014443-11014745,0.37516125215742,0.236308197081291,0.189792895146555,2.70185810425079,0.120491327820243,3,4.64069195876663,-1.28138391753326,0.658242681618743,0.324192087433001,9
Scaffold_01:11561146-11561193,0.317139612554119,0.122036644712439,0.229280451591545,1.62549865879779,0.263124762079432,3,2.32208284061683,3.35583431876634,4.56617469074253,0.367986678374159,7
Scaffold_01:11917462-11917637,0.217391591745821,0.043478612133781,0.292123200934588,1.25000211157771,0.33185647303067,3,-0.534214227481779,9.06842845496356,11.0080550541156,0.768023680718425,9
Scaffold_01:12227264-12227307,0.191565008339644,0.0119127879706762,0.12000295487586,1.06631027407404,0.38406343609152,3,10.1416969867076,-12.2833939734153,-10.3437673742633,0.12960638261044,9
Scaffold_01:13375403-13375424,0.0846000940142145,-0.11882210731596,0.235814504657185,0.415884271534846,0.671813745981031,3,2.03534739900998,3.92930520198004,5.86893180113204,0.50047632546042,9
Scaffold_01:19890908-19890947,0.780779927507014,0.732064355841905,0.106214593518136,16.0273173611598,0.00108133790425615,3,11.6063552065337,-15.2127104130675,-13.2730838139155,0.101533858886005,9
Scaffold_01:20364550-20364597,0.207544147833959,0.0314428473526162,0.0943522696363927,1.17854977371929,0.351065252502869,3,13.0274694597416,-18.0549389194832,-16.1153123203312,0.080121157069847,9
Scaffold_01:21010844-21010866,0.353920525905386,0.169326390449782,0.129478899068083,1.91729019468501,0.216770811348336,3,8.03636291442862,-8.07272582885724,-6.86238545688106,0.117353497127179,7
Scaffold_01:21445614-21445647,0.0045042029920423,-0.244369746259947,0.311086413574597,0.0180983305226603,0.982104549988707,3,-1.01229831340439,10.0245966268088,11.6161777180023,0.774198053685644,8
